name,region
kafka:awx.pricing.quote.hk.aliyun,hk
kafka:awx.pricing.quote_request.hk.aliyun,hk
kafka:awx.revenue.rule.events,hk
kafka:awx.revenue.rule.events,unknown
kafka:awx.venue.execution.events,unknown
kafka:awx.venue.execution.events.remote,unknown
kafka:awx.venue.order.events.remote,unknown
kafka:execution-monitor-monitor-aggregation-store-changelog,unknown
kafka:execution-monitor-monitor-client-trade-store-changelog,unknown
kafka:execution-monitor-monitor-trade-store-changelog,unknown
kafka:execution-signaler-execution.signaler.state-changelog,unknown
kafka:gcp_hk_prod.acquiring.getpaid.invoice_payment.0,hk
kafka:gcp_hk_prod.airwallexpay.airwallex_pay_service.transaction_journal,hk
kafka:gcp_hk_prod.approval.request,hk
kafka:gcp_hk_prod.approval.status,hk
kafka:gcp_hk_prod.approval.updates,hk
kafka:gcp_hk_prod.notification.channels_email,hk
kafka:gcp_hk_prod.notification.channels_email_slow,hk
kafka:gcp_hk_prod.notification.channels_one_off_email,hk
kafka:gcp_hk_prod.notification.channels_push,hk
kafka:gcp_hk_prod.notification.channels_sms,hk
kafka:gcp_hk_prod.notification.channels_system-notification,hk
kafka:gcp_hk_prod.notification.channels_webhook,hk
kafka:gcp_hk_prod.notification.channels_webhook_retry,hk
kafka:gcp_hk_prod.notification.channels_webhook_slow,hk
kafka:gcp_hk_prod.notification.events,alihk
kafka:gcp_hk_prod.notification.events,hk
kafka:gcp_hk_prod.notification.events,us
kafka:gcp_hk_prod.notification.history_email,hk
kafka:gcp_hk_prod.notification.history_push,hk
kafka:gcp_hk_prod.notification.history_sms,hk
kafka:gcp_hk_prod.notification.history_webhook,hk
kafka:gcp_hk_prod.platform.accounting.journal_entry,hk
kafka:gcp_hk_prod.risk_ns.create_case,hk
kafka:gcp_hk_prod.risk_ns.name_screening_request,alihk
kafka:gcp_hk_prod.risk_ns.screen_result,hk
kafka:gcp_hk_prod.scale.onboarding_service.invitation.accepted,hk
kafka:gcp_hk_prod.scale.ongoing_review_request,hk
kafka:gcp_hk_prod.scale.scale_connect_service.scale_domain_events.0,hk
kafka:gcp_hk_prod.scale.task_banner.events,hk
kafka:gcp_hk_prod_acquire_setting_update_notification_topic,hk
kafka:gcp_hk_prod_acquiring_capture_status_updated_event,hk
kafka:gcp_hk_prod_acquiring_merchant_event_topic,hk
kafka:gcp_hk_prod_acquiring_payment_executor_capture_request_amex,hk
kafka:gcp_hk_prod_acquiring_payment_executor_capture_request_jcb,hk
kafka:gcp_hk_prod_acquiring_payment_executor_capture_request_mastercard,hk
kafka:gcp_hk_prod_acquiring_payment_executor_capture_request_upi,hk
kafka:gcp_hk_prod_acquiring_payment_executor_capture_request_visa,hk
kafka:gcp_hk_prod_attempt_expire_topic,hk
kafka:gcp_hk_prod_authapi_local,hk
kafka:gcp_hk_prod_billing_fee_configuration_event,hk
kafka:gcp_hk_prod_billing_fee_event_0,hk
kafka:gcp_hk_prod_billing_fee_event_0,us
kafka:gcp_hk_prod_clearing_house_clearing_output_topic,hk
kafka:gcp_hk_prod_clearing_house_fee_details_topic,hk
kafka:gcp_hk_prod_clearing_house_send_fee_msg_to_settlement_event_topic,hk
kafka:gcp_hk_prod_clearing_house_settlement_request_event_topic,hk
kafka:gcp_hk_prod_clearing_house_settlement_result_event_topic,hk
kafka:gcp_hk_prod_clearing_house_settlement_result_event_topic,unknown
kafka:gcp_hk_prod_clearing_transaction_event_topic,hk
kafka:gcp_hk_prod_core_banking_async_report_task,hk
kafka:gcp_hk_prod_core_banking_financial_transaction_events,hk
kafka:gcp_hk_prod_dispute_event_topic,hk
kafka:gcp_hk_prod_dispute_risk_event_topic,hk
kafka:gcp_hk_prod_fee_clearing_event_topic,hk
kafka:gcp_hk_prod_financial_transaction_core_transaction_request,hk
kafka:gcp_hk_prod_fraud_auth_result_event_topic,hk
kafka:gcp_hk_prod_fraud_case_creation_event_topic,hk
kafka:gcp_hk_prod_fraud_case_update_event_topic,hk
kafka:gcp_hk_prod_fraud_provider_response_creation_event_topic,hk
